domain,credibility_rating,tranco_ranking,political_leaning
ahram.org.eg,0.661037542188763,2399,left
mercola.com,0.174179298813923,2402,right
liveleak.com,0.318710662278338,2403,right
theonion.com,0.445775894839608,2415,left
benzinga.com,0.913680907435032,2424,left
health.com,0.751175026961193,2436,left
mainichi.jp,0.861719946860048,2437,left
gulfnews.com,0.504525179873208,2447,left
leparisien.fr,0.672939028945443,2449,left
independent.ie,0.7394977860508871,2451,left
sacbee.com,0.841321722825666,2452,left
sbs.com.au,0.861719946860048,2459,left
curbed.com,0.585634638085506,2469,left
drugs.com,0.965142662952843,2481,left
newsday.com,0.8736140922609341,2483,left
rappler.com,0.7201132512573509,2488,left
kidshealth.org,0.5615179927380589,2493,right
newatlas.com,0.8564085340658679,2496,left
psychcentral.com,0.8640906979416471,2500,left
business2community.com,0.879026400989601,2504,left
thestar.com.my,0.613601275347775,2509,left
yomiuri.co.jp,0.7912300280333041,2515,left
thecut.com,0.659203899205469,2544,left
philly.com,0.7152898370522579,2545,left
scotsman.com,0.925960447501987,2546,left
statnews.com,0.816946216297037,2553,left
cnrs.fr,0.6278412077870289,2594,left
digitaljournal.com,0.905571729093681,2598,left
alarabiya.net,0.6831007772740311,2600,left
iea.org,0.9260830097906708,2601,left
arte.tv,0.8335594989640629,2603,left
newrepublic.com,0.557480440607854,2627,left
ocregister.com,0.804965428527866,2637,left
ansa.it,0.881245084113698,2638,left
recode.net,0.836385006485927,2649,left
pagesix.com,0.457488327780295,2655,left
aps.org,0.909650346870873,2672,left
alz.org,0.6616887808343921,2675,left
sun-sentinel.com,0.9128970603767148,2680,left
womenshealthmag.com,0.67541896578332,2684,left
unilad.co.uk,0.6158852190312429,2694,left
news-medical.net,0.52366978518076,2707,left
financialexpress.com,0.693986558881595,2711,left
babycenter.com,0.6707828900275289,2712,left
rand.org,0.91841466496127,2717,left
c-span.org,0.8790153405414041,2725,left
thrillist.com,0.831406590643075,2729,left
dailystar.co.uk,0.446815532977406,2738,left
wbur.org,0.583131563726547,2739,left
medicalxpress.com,0.861601738612092,2741,left
news24.com,0.871165064239559,2743,left
mensjournal.com,0.50172359606793,2750,left
orlandosentinel.com,0.86908079813431,2760,left
indiewire.com,0.6310319228521669,2762,left
bleepingcomputer.com,0.9118849478237622,2771,left
jsonline.com,0.879670844939335,2778,left
drugabuse.gov,0.668463260544167,2779,left
al.com,0.8868253826774009,2781,left
n-tv.de,0.622959381514971,2794,left
news.cn,0.691128182520535,2800,left
investors.com,0.4688934184792151,2802,right
infowars.com,0.0458475179096454,2821,right
chronicle.com,0.804965428527866,2831,left
detroitnews.com,0.8802811922429571,2850,left
military.com,0.8790153405414041,2852,right
insidehighered.com,0.861708570733053,2868,left
tagesspiegel.de,0.661535946715665,2876,left
helpguide.org,0.502587689715472,2883,left
liberation.fr,0.6310319228521669,2922,left
handelsblatt.com,0.6663356277880219,2924,left
afr.com,0.941320926225632,2930,left
glamour.com,0.7941507379822429,2951,left
punchng.com,0.661037542188763,2953,left
bfmtv.com,0.552734415457161,2961,left
manchestereveningnews.co.uk,0.8036262230622908,2968,left
gao.gov,0.8790153405414041,2983,left
kff.org,0.871165064239559,2991,left
kitco.com,0.655088960253424,2993,right
nola.com,0.887458312598086,2996,left
farsnews.ir,0.5705047676713921,2998,left
geekwire.com,0.6964410859141321,3000,left
reason.com,0.8054569581037191,3004,right
thewrap.com,0.6964850783821529,3021,left
ncsl.org,0.92629107180748,3025,left
firstpost.com,0.4572309397383511,3032,left
diabetes.org,0.7137068248358192,3051,left
ewg.org,0.289162077762315,3053,left
businessinsider.com.au,0.609340999307784,3055,left
realclearpolitics.com,0.596552926855128,3081,right
orf.at,0.595903310785821,3086,left
swissinfo.ch,0.8093717855003901,3102,left
cracked.com,0.5144472668622979,3105,left
theweek.com,0.639426986322585,3106,left
pri.org,0.816946216297037,3116,left
nrdc.org,0.643958082305658,3121,left
naturalnews.com,0.0,3126,right
financialpost.com,0.756353350243437,3130,left
sportingnews.com,0.598909713642671,3139,right
globaltimes.cn,0.542520459200017,3144,right
jalopnik.com,0.7502256628711159,3145,left
afp.com,0.954600577620557,3155,left
parents.com,0.619358295561067,3164,left
dailydot.com,0.645022340394397,3168,left
cfr.org,0.8790153405414041,3177,left
thenational.ae,0.3643288146984979,3190,left
newstatesman.com,0.6979382689800799,3192,left
appledaily.com,0.654198672449235,3194,right
wikileaks.org,0.481496353595557,3195,right
theblaze.com,0.319102558515008,3202,right
stltoday.com,0.834183112512786,3207,left
kansascity.com,0.834757861074163,3214,left
lesechos.fr,0.6887650449470178,3215,left
bgr.com,0.804965428527866,3219,left
reviewjournal.com,0.8639110275202571,3224,left
wdr.de,0.642944173256451,3265,left
dailykos.com,0.4137356201850171,3269,left
aftonbladet.se,0.613601275347775,3279,left
aap.org,0.909650346870873,3284,left
politifact.com,0.8681980922909529,3305,left
bangkokpost.com,0.9118849478237622,3317,left
ndr.de,0.5784552586259871,3321,left
sfexaminer.com,0.86189799091216,3323,left
sciencenews.org,0.9007960756289092,3332,left
thinkprogress.org,0.570515091820804,3355,left
visualcapitalist.com,0.662143242587894,3368,left
law.com,0.8790153405414041,3380,left
euractiv.com,0.775429000335308,3391,left
tasnimnews.com,0.297956033126636,3417,left
heraldnet.com,0.804965428527866,3418,left
sltrib.com,0.910621073372594,3425,left
nami.org,0.686287190002854,3439,left
peta.org,0.30518114825239,3445,left
bostonherald.com,0.797928569694443,3460,left
kqed.org,0.8452854626140609,3465,left
bigthink.com,0.8826996859680658,3469,left
lastampa.it,0.8421518090124491,3481,left
avclub.com,0.81633964127538,3483,left
heritage.org,0.6077305051874791,3506,right
teenvogue.com,0.590716748850604,3508,left
daserste.de,0.598909713642671,3514,left
dailyrecord.co.uk,0.541799662890485,3538,left
247sports.com,0.546185208330786,3539,right
alternet.org,0.42818441506045,3542,left
sabah.com.tr,0.463390777227875,3545,left
china.org.cn,0.493709374980255,3553,left
trust.org,0.668271133133525,3554,left
rferl.org,0.8111404262369859,3562,left
theathletic.com,0.674172910366423,3564,right
nouvelobs.com,0.7042141950438741,3575,left
dagospia.com,0.595975684320778,3586,left
vancouversun.com,0.85282809463095,3588,left
nbcnewyork.com,0.831406590643075,3598,left
thriveglobal.com,0.254647451764946,3599,left
houstonchronicle.com,0.786859789366762,3634,left
countryliving.com,0.676525850264753,3653,right
lexpress.fr,0.560443357172838,3659,left
thedrum.com,0.602914694779855,3660,left
digiday.com,0.6317495390311371,3664,left
stern.de,0.6598733763506309,3668,left
br.de,0.745961394333135,3671,left
mediapost.com,0.8698284996379579,3673,left
rawstory.com,0.461914938868004,3685,left
ilsole24ore.com,0.7300157218580171,3689,left
commondreams.org,0.542461094772567,3694,left
dailytelegraph.com.au,0.64811872956149,3708,right
edweek.org,0.6876102354747559,3730,left
newsobserver.com,0.816946216297037,3740,left
novinky.cz,0.831182983946359,3751,left
americanprogress.org,0.634607511265322,3757,left
allafrica.com,0.871165064239559,3767,left
techspot.com,0.5638297918270401,3770,left
20minutes.fr,0.6838197338693461,3787,left
wnd.com,0.192160019649149,3794,right
